State,Sum of Sales
California,457687.6315
New York,310876.271
Texas,170188.0458
Washington,138641.27
Pennsylvania,116511.914
Florida,89473.708
Illinois,80166.101
Ohio,78258.136
Michigan,76269.614
Virginia,70636.72
North Carolina,55603.164
Indiana,53555.36
Georgia,49095.84
Kentucky,36591.75
New Jersey,35764.312
Arizona,35282.001
Wisconsin,32114.61
Colorado,32108.118
Tennessee,30661.873
Minnesota,29863.15
Massachusetts,28634.434
Delaware,27451.069
Maryland,23705.523
Rhode Island,22627.956
Missouri,22205.15
Oklahoma,19683.39
Alabama,19510.64
Oregon,17431.15
Nevada,16729.102
Connecticut,13384.357
Arkansas,11678.13
Utah,11220.056
Mississippi,10771.34
Louisiana,9217.03
Vermont,8929.37
South Carolina,8481.71
Nebraska,7464.93
New Hampshire,7292.524
Montana,5589.352
New Mexico,4783.522
Iowa,4579.76
Idaho,4382.486
Kansas,2914.31
District of Columbia,2865.02
Wyoming,1603.136
South Dakota,1315.56
Maine,1270.53
West Virginia,1209.824
North Dakota,919.91
